植物名（流通名）,学名,英名・別名,科名・属名,原産地,耐陰性（日照条件）,耐寒性（越冬温度）,耐暑性・耐湿性,推奨置き場所,水やりの頻度,季節ごとの注意点,好む湿度・葉霧,栽培難易度,分類,開花・見頃時期,花・実・葉の色,最大成長サイズ,成長スピード,適した土のタイプ,植え替え時期・周期,肥料の与え方,かかりやすい病気,つきやすい害虫,病害虫の対策・薬剤,剪定・切り戻し,ペット・子供への安全性,インテリアスタイル,機能性・効果,風水・花言葉,ギフト適性,仕入れルート・季節性,店舗陳列場所,価格帯（目安）,
ヒナソウ,Houstonia caerulea,Bluet / 雛草（ヒナソウ）,アカネ科トキワナズナ属,北アメリカ東部,中（半日陰OK）〜低,-10℃以上（寒さに非常に強い日本の山野草風多年草）,普通 / 弱い（夏の直射日光・猛暑に非常に弱い）,庭（落葉樹の下・ロックガーデン） / ベランダ（東側・日陰）,常に湿らせる（水切れ厳禁）,別名「トキワナズナ」。苔のように細かく広がるマットから、十字型の極小の可愛い青花が爆発的に咲く。水切れ厳禁。,湿度好む,中級者向け,常緑性多年草（山野草）,2月〜5月（早春開花）,花：極小の十字型のパステルブルーまたは白（中心が黄色）、葉：極小緑葉,樹高0.05m〜0.1m（クッション状に広がる）,普通,山野草の土、または鹿沼土主体の水はけと保水性の良い土,春（花後すぐ、5月）または秋、毎年〜2年に1回,春と秋の生育期に、極めて薄い液肥を10日に1回程度与える（過肥厳禁）,特になし,特になし,夏の直射日光は一発で干からびて枯れるため、夏は完全な日陰の涼しい場所で管理する。,剪定は不要。終わった花殻が気になる場合は、軽く手でなでて落とす程度。,安全（毒性なし）,ナチュラル /和モダン / ミニマル / クラシック,ミニ盆栽や寄せ植えの足元を彩る、極めて可憐で優しい早春のブルー効果,花言葉「会える幸せ」「寛大な愛」,早春のプチギフト / 山野草・ミニチュア好きな方へ,冬〜春のみ（1〜3月に限定流通）,屋外・半日陰・山野草コーナー最前線,3号ポット：250円 / 3.5号鉢（開花株）：500円,
アジュガ,Ajuga reptans,Bugleweed / 十二単（ジュウニヒトエ）,シソ科アジュガ属,ヨーロッパ〜中央アジア,高（日陰OK）〜中,-15℃以上（日本全国植えっぱなし無敵、冬も常緑）,強い / 強い（極めて強健な日陰の絶対エース）,庭（シェードガーデン・樹木の下） / ベランダ（北側）,土が乾いたらたっぷり（やや湿り気を好む）,「日陰のグランドカバーの王様」。直射日光だと葉焼けするが、完全な日陰でもランナーで無限に広がる。春に紫の塔が立つ。,湿度好む,初心者向け,常緑性多年草（宿根草・匍匐性）,4月〜5月（開花期）、葉は通年,花：十二単のように重なる鮮やかな紫〜青の穂状花、葉：濃紫（ブロンズ）や斑入り,樹高0.1m〜0.2m（地を覆い尽くす）,極めて早い,一般的な培養土、どんな土でもよく育つ,春（花後）または秋、植えっぱなしで何年も不要,春先に緩効性肥料を少量施す程度（肥料がなくても無限に広がる）,特になし,ナメクジ,非常に強健。日陰の湿気のある場所を好む。夏の西日だけは避けること。,剪定は完全不要。春の花が終わったら、枯れた花穂を根元からハサミでカットする程度。,安全（毒性なし、ペットにも安全なグランドカバー）,モダン / シック /和モダン / イングリッシュガーデン,暗い日陰をシックなブロンズ色の絨毯にし、春に鮮烈な紫の花園にする効果,花言葉「心休まる家庭」「強い友情」,日陰のお庭の植栽・リフォーム用 / 寄せ植えの足元,通年安定（春と秋に大量流通）,屋外・日陰・グランドカバーコーナーの主役,3号ポット：250円〜350円（斑入りはやや高め）,
ラミウム,Lamium maculatum,Spotted deadnettle / オドリコソウ,シソ科オドリコソウ属,ヨーロッパ〜西アジア,高（日陰OK）〜中,-10℃以上（寒さに強く冬も美しい常緑）,普通 / 弱い（夏の高温多湿・蒸れにやや弱い）,庭（明るい日陰・木陰） / ベランダ（北側・東側）,土が乾いたらたっぷり（過湿に注意）,日陰をパッと明るくするシルバーリーフのグランドカバー。アジュガに似るが、こちらは夏の蒸れに少し弱い。,普通,初心者向け,常緑性多年草（宿根草・匍匐性）,5月〜6月（開花期）、葉は通年,葉：中央にクッキリと銀白色の斑が入るシルバーグリーン、花：ピンク〜薄紫,樹高0.1m〜0.2m（横に広がる）,早い,一般的な培養土（水はけ重視）,春または秋、根詰まりしたら,春に緩効性肥料を少量（肥料が多いと葉の銀色が薄れる）,根腐れ・夏の蒸れ腐れ,ナメクジ,アジュガより過湿に弱いため、水はけの良い日陰に植える。夏は遮光と風通し。,梅雨前（6月）に、蒸れ防止のために長いつるを半分程度まで切り戻す（剪定）。,安全（毒性なし）,北欧 / シャビーシック / フレンチ / ナチュラル,暗いシェードガーデンに光が差し込んだような極上の明るさをもたらすカラーリーフ効果,花言葉「気づかれない想い」「清らかな愛」,日陰のお庭のカラーリーフ用 / 寄せ植えの脇役,通年安定,屋外・日陰・シェードプランツコーナー,3号ポット：300円,
ヒメイワダレソウ,Phyla canescens,Lippia / リピア（リッピア）,クマツヅラ科イワダレソウ属,南アメリカ原産,低（日向必須）,-10℃以上（冬は地上部が枯れ、春に大復活する）,強い / 強い（驚異的な強健さ、芝生の代用品）,土が乾いたらたっぷり（乾燥にめっぽう強い）,芝生の10倍の繁殖力を持つ最強のグランドカバー。雑草を完全に駆逐する。狭い庭に植えると大変なことになるので注意。,乾燥好む,初心者向け,多年草（宿根草・匍匐性）,5月〜9月（夏中ずっと咲く）,花：白〜淡ピンクの極小の可愛い金平糖のような花、葉：細かなギザギザ葉,樹高0.05m（完全に地を這う）,驚異的に早い,砂地・痩せ地・どんな土でも、アスファルトの隙間でも育つ,なし（植えっぱなし無敵）,完全不要（与えると増えすぎて制御不能になる）,特になし,特になし,踏まれれば踏まれるほど葉が細かくカチッと密になり、美しく育つ（耐踏圧性が最強）。,境界線を越えて増えすぎたら、ハサミや草刈り機で定期的にザクザクと縁をカットする。,安全（毒性なし、犬のドッグランの芝生代用に最高）,カリフォルニア / 西海岸風 / ナチュラル / ジャンクガーデン,雑草対策（草むしり不要のお庭） / 可愛いお花の絨毯とドッグラン効果,花言葉「誠実」「絆」「私の思いを受けて」,広範囲の雑草対策・お庭の緑化用 / ドッグラン用植物,春夏のみ（4〜7月に大量流通）,屋外・雑草対策・グランドカバーコーナー最前線,"3号ポット：200円 / 24ポットまとめ買いケース：4,000円",,
ディコンドラ・シルバーフォール,Dichondra argentea 'Silver Falls',Silver falls dichondra,ヒルガオ科ディコンドラ属,北米南部〜メキシコ（乾燥地帯）,中（半日陰OK）〜低,-5℃以上（関東以西は屋外冬越し可、冬は少し葉が減る）,強い / 普通（過湿は避ける）,ベランダ（ハンギング・壁掛け） / 庭（日向）,乾燥気味（土の表面が乾いてからたっぷり）,「シルバーフォールズ」。名前の通り、滝（フォール）のように極上の銀葉が1m以上しだれる、ハンギングの絶対的王者。過湿厳禁。,乾燥好む,初心者向け,常緑性（〜半落葉）多年草（匍匐性）,通年（葉の見頃）,葉：ハート型（アサガオ型）の極小の美しいプラチナシルバーリーフ,つるの長さ0.3m〜1.5m以上（下垂性）,極めて早い,水はけ重視（一般的な培養土に砂や軽石を混ぜる）,春（406月）、毎年〜2年に1回,春〜秋の生育期に緩効性肥料を少量、または液肥を月に1回,根腐れ・夏の蒸れ病,特になし,アオイゴケ（緑のディコンドラ）は日陰・多湿を好むが、この「シルバー」は日向と乾燥を好む。過湿厳禁。,長くなりすぎたり、株元が蒸れてスカスカになったら、春〜夏にいつでも好みの長さでカットして良い。,安全（毒性なし）,インダストリアル / モダン / シャビーシック / スタイリッシュ,シルバーのカーテンが垂れ下がる、圧倒的に洗練された都会的なインテリア・エクステリア効果,花言葉「気さく」「楽しい思い出」,一人暮らし / お洒落なハンギングを楽しみたい方へ / 寄せ植えの端役,通年安定（春〜夏に大量流通、大人気）,屋外ハンギングエリア / セレクトカラーリーフコーナー,"3号ポット：350円 / 5号吊り鉢（ロング）：2,500円",
グレコマ,Glechoma hederacea,Ground ivy / 斑入りカキドオシ（垣通し）,シソ科カキドオシ属,日本・ユーラシア大陸原産,高（日陰OK）〜中,-15℃以上（日本全国植えっぱなし無敵、冬も常緑）,強い / 強い（驚異的な強健つる性多年草）,庭（グランドカバー） / ベランダ（ハンギング）,土が乾いたらたっぷり（水切れに注意）,「垣根を通り抜けて増える（カキドオシ）」の名の通り、極めて強健。日陰でもハンギングから可愛くしだれる。ミント系の爽やかな香り。,普通,初心者向け,常緑性多年草（宿根草・匍匐性）,通年（葉の見頃）、春に薄紫の小花,葉：丸くフチがギザギザ、美しい白の覆輪斑入り（揉むと爽快香）,つるの長さ0.3m〜1.5m以上,極めて早い,一般的な培養土、どんな土でもよく育つ,春または秋、鉢植えは毎年植え替え推奨,ほぼ不要（与えると増えすぎて制御不能になる）,特になし,特になし,耐陰性が極めて高く、日陰のハンギングやグランドカバーに最適。乾燥による水切れだけ注意。,つるが伸びすぎて邪魔になったら、いつでもどこをハサミでカットしても大丈夫。,安全（日本の野草の仲間、毒性なしペットにも安全）,ナチュラル / カントリー / ジャンクガーデン / 北欧,日陰の壁面や鉢から可愛らしい斑入り葉がしだれる、ナチュラルな清涼感効果,花言葉「享楽」「楽しい思い出」,寄せ植えの定番脇役 / 一人暮らしのハンギング / 日陰の緑化,通年安定（超定番）,屋外日陰・寄せ植え材料コーナー,3号ポット：250円,
スイートバジル,Ocimum basilicum,Sweet basil / メボウキ（目箒）,シソ科メボウキ属,熱帯アジア・アフリカ原産,低（日向必須）,10℃以上（寒さに非常に弱い、日本では完全な一年草扱い）,強い / 普通（日本の夏が大好き）,土が乾いたらたっぷり（水切れ厳禁）,「ハーブの王様」。パスタやピザ（ジェノベーゼ）の絶対的必需品。寒さに極めて弱く、秋の終わり（11月）に枯れる完全一年草。,普通,初心者向け,完全一年草（ハーブ）,6月〜10月（葉の収穫期）,葉：艶のある鮮やかなライトグリーン（濃厚なイタリアンの芳香）,樹高0.3m〜0.6m（こんもり茂る）,極めて早い,一般的な培養土、野菜・ハーブの土,なし（開花苗・野菜苗として春に植え付け）,肥料が大好き。生育期（5〜9月）に緩効性肥料を毎月、または週1回の液肥で葉が無限に収穫できる,特になし,アブラムシ・ヨトウムシ・ハダニ,夏場に白い花穂が伸びてくるが、花を咲かせると葉が硬くなり香りが落ちるため、見つけ次第すぐに摘み取る（摘心）。,こまめに枝先を収穫（収穫を兼ねた剪定）することで、脇芽が倍々に増えて秋まで大量に収穫できる。,安全（代表的なエディブルハーブ、ペットにも安全）,イタリアン / キッチン / ポップ / カジュアル,もぎたての最高の香りと、自家製マルゲリータやジェノベーゼをいつでも楽しめる圧倒的実用性,仕事運・財運 / 花言葉「よい家庭」「神聖」「強大な力」,キッチンハーブを始めたい方へ / 食通の方への実用的なプチギフト,春夏のみ（4〜7月に野菜・ハーブ苗として爆発的流通）,屋外ハーブ・野菜苗特設コーナー主役,3号ポット：150円〜250円,,
コデマリ,Spiraea cantoniensis,Reeves' spirea / 小手毬（コデマリ）,バラ科シモツケ属,中国原産,中（半日陰OK）〜低,-15℃以上（日本全国植えっぱなし無敵の耐寒性落葉樹）,強い / 普通,庭（シンボル低木） / ベランダ,土が乾いたらたっぷり,春に小さな白い花が丸く集まり、まさに「小さな手毬（コデマリ）」のような手鞠花が枝垂れるようにびっしり咲く伝統的銘木。,普通,初心者向け,落葉性低木,4月〜5月（一季咲き、圧倒的ボリューム）,花：純白の極小花が丸く集まった手毬状の花、葉：細かく秋に紅葉する,樹高1m〜2m（こんもりコンパクト）,早い,一般的な培養土、水はけの良い土,冬の落葉期（12〜2月）、2〜3年に1回,冬に寒肥（有機質肥料）、花後の5月に緩効性肥料を施す,うどんこ病（梅雨時）,アブラムシ,非常に強健で火の打ち所がないが、春の新芽の時期のアブラムシ対策（オルトラン等）だけ行う。,花後すぐ（5月〜6月中旬まで）に剪定。夏以降に切ると、翌年の花芽を全て落とすことになるので絶対に切らない。,安全（バラ科共通、多量誤食注意）,ナチュラル /和モダン / クラシック / フレンチカントリー,春のお庭を純白の手毬で埋め尽くす圧倒的な華やかさと、切り花としての高い価値,花言葉「優雅」「上品」「友情」「努力」,新築祝い / 母の日手前ギフト / 生け花・切り花好きな方へ,春夏のみ（3〜4月に開花株が大量流通）,屋外・定番花木コーナー最前線,"4号鉢：1,200円 / 6号鉢（開花株）：3,500円",
グラスペディア,Craspedia globosa,Billy buttons / ドラムスティック,キク科グラスペディア属,オーストラリア・ニュージーランド,低（日向必須）,-5℃以上（関東以西は屋外で冬越し可能）,強い / 弱い（梅雨・夏の長雨・高温多湿に弱い）,ベランダ / 庭（鉢植え管理推奨）,乾燥気味（土の表面が乾いてからたっぷり）,別名「ゴールドスティック」。太い細い茎の先端に、完全な黄色のピンポン玉のような花が咲く。そのまま一瞬で極上のドライフラワーになる個性派。,乾燥好む,中級者向け,常緑性多年草（宿根草、地域により一年草扱い）,5月〜8月（開花期）,花：完全な球体の鮮やかなゴールドイエロー、葉：シルバーを帯びたロゼット葉,樹高0.4m〜0.7m（花茎が長く伸びる）,普通,水はけ極めて重視（一般的な培養土に山砂や軽石を多めに混ぜる）,春（3〜4月）または秋、1〜2年に1回,春と秋に緩効性肥料を少量（控えめで良い、過肥は根を痛める）,根腐れ・夏の蒸れ病,特になし,梅雨〜夏の長雨に当たると一発で腐るため、梅雨以降は雨の当たらない風通しの良い軒下で管理する。,花が完全に丸く色づいたら、茎の根元からカットして部屋に吊るすだけで、色褪せない美しいドライフラワーが完成する。,安全（毒性なし）,モダン / インダストリアル / ポップ / 西海岸風,幾何学的な黄色の球体による圧倒的なポップ・モダンインテリア性とドライフラワー価値,花言葉「心の扉を開く」「個性的」「永遠の幸福」,ドライフラワー・インテリア好きな方へのギフト / 誕生日のプチギフト,春夏のみ（4〜6月に苗・開花株がスポット流通）,屋外・明るい軒下・セレクトネイティブフラワー,"3号ポット：350円 / 4.5号鉢：1,200円",
フレンチラベンダー,Lavandula stoechas,French lavender / ストエカスラベンダー,シソ科ラベンダー属,地中海沿岸原産,低（日向必須）,-5℃以上（関東以西は地植えで大株化可能）,強い / 普通（イングリッシュラベンダーより暑さに強い）,乾燥気味（土が中までしっかり乾いてからたっぷり）,ウサギの耳のような可愛いリボン（苞）が花の先端につくラベンダー。ラベンダーの中で最も日本の夏の暑さに強く強健。,乾燥好む,初心者向け,常緑性低木（ハーブ）,3月〜6月（春から初夏まで長く咲く）,花：紫・ピンク・白、先端にウサギの耳のような可愛い苞、葉：シャープな芳香葉,樹高0.3m〜0.6m（こんもり茂る）,早い,水はけ極めて重視（ハーブの土、または培養土に軽石多め配合）,春（花後、6月）または秋、2年に1回,春と秋に緩効性肥料を少量（ラベンダーは肥料が少ない方が香りが強くなる）,根腐れ・夏の蒸れ病,特になし,非常に強健だが過湿だけは嫌う。梅雨前にドーム状の株をすくように剪定して風通しを確保する。,花が終わる梅雨前（6月）に、株全体の3分の1程度までバッサリとドーム状に切り戻す（夏越し＆秋の株作りのため）。,安全（毒性なし、リラックスハーブ、ペット多量誤食注意）,北欧 / フレンチ / カントリー / ナチュラル,ウサギの耳のような可憐な姿と、ベランダいっぱいに広がるラベンダーの癒やし香,リラックス・魔除け / 花言葉「私に答えてください」「期待」「不信感」,母の日 / 新築祝い / 女性への誕生日ギフト,春夏のみ（3〜5月に出荷ピーク、大人気）,屋外一等地・定番ラベンダー特設コーナー主役,"3号ポット：350円 / 5号鉢（開花株）：1,800円",,
イングリッシュラベンダー,Lavandula angustifolia,English lavender / コモンラベンダー（真性ラベンダー）,シソ科ラベンダー属,地中海沿岸（高地）,低（日向必須）,-15℃以上（寒さには無敵だが、日本の夏の猛暑多湿に極めて弱い）,普通 / 弱い（日本の夏の高温多湿が最大の天敵）,乾燥気味（土が中まで完全に乾いてから）,「本物のラベンダー」。アロマオイルの最高峰原料。香りの格が違うが、北海道のような寒冷地を好むため日本の夏の猛暑で最も枯れやすい。夏は日陰へ。,乾燥好む,上級者向け（暖地での夏越し）,常緑性低木（ハーブ）,5月〜6月（初夏開花）,花：非常に濃い美しい紫色の高貴な花穂（極上のリラックス香）、葉：シルバーグリーン,樹高0.3m〜0.5m,普通,水はけ極めて重視（鹿沼土・山砂主体のアルカリ性土壌・苦土石灰配合）,春（3〜4月）、夏越しに備えて毎年植え替え推奨,春先に緩効性肥料を極少量（過肥は一発で枯れる、基本は不要ベース）,根腐れ・夏の猛暑による凍死（枯死）,特になし,暖地（東京等）での夏越しが最大の難関。梅雨以降は雨を100%避け、直射日光を遮光した、風通しの良い極限の涼しい日陰で管理する。,花が終わったら（6月中旬）すぐに、株元の風通しを良くするために地面近くまで大胆にバッサリ強剪定する（夏越し最重要対策）。,安全（最高峰の癒やしハーブ、ペット多量誤食注意）,北欧 / シャビーシック / フレンチ / 清楚・クラシック,世界最高峰の天然アロマ香による絶大な安眠・リラックス効果と気品,安眠・リラックス / 花言葉「あなたを待っています」「沈黙」「不信」,アロマ・ハーブを愛する方への特別なギフト / 母の日高級ギフト,春夏のみ（4〜5月に開花株が大量流通）,屋外・雨の当たらない涼しいラベンダーエリア,"3.5号ポット：450円 / 5号鉢（開花株）：2,500円",,
レースラベンダー,Lavandula pinnata,Fernleaf lavender / ピナータラベンダー,シソ科ラベンダー属,カナリア諸島原産（亜熱帯）,低（日向必須）,0℃以上（冬は室内の明るい窓際へ、寒さに弱い）,強い / 普通（他のラベンダーと異なり日本の夏に比較的耐える）,,常に湿らせる（水切れ注意）,葉がレース（シダ）のように細かく繊細で、四季咲き性が極めて高く年中咲き続ける。他のラベンダーと違い、寒さに弱く、水切れに弱いので注意。,普通（水切れ厳禁）,中級者向け,常緑性多年草（ハーブ扱いだが香りは薄い）,通年（気温（15℃以上）があると冬も春も秋もずっと咲き続ける）,花：長い花茎の先に鳥の羽のような上品な薄紫花、葉：レース状の美しい細葉,樹高0.3m〜0.6m,早い,一般的な培養土、水はけの良い土,春または秋、毎年植え替え推奨,他のラベンダーと違い肥料が大好き。生育期（春〜秋）に緩効性肥料と定期的な液肥をしっかり与える,特になし,特になし,ラベンダーと思って乾燥させると一発で水切れして枯れる。普通の草花と同じように土が乾いたらたっぷり水をやる。冬は室内へ。,花穂が長く伸びて終わったら、下の分岐点でこまめにカットする。全体の形が崩れたら、いつでもどこでも切り戻し可能。,安全（毒性なし、香りは他のラベンダーに比べかなり薄い）,北欧 / シャビーシック / フェミニン / ナチュラル,レースのような美しい葉と、四季を通じて途切れず咲き続ける圧倒的なコストパフォーマンス効果,花言葉「私に答えてください」「繊細」「期待」,寄せ植えの主役 / 一人暮らし（通年花を楽しみたい方へ）,通年安定（春秋に流通ピーク、冬も室内用で流通）,屋外日向（夏・秋） / 室内窓際（冬）,"3号ポット：300円 / 5号鉢：1,200円",
ラムズイヤー,Stachys byzantina,Lamb's ear / ワタチョロギ,シソ科イヌゴマ属,トルコ・イラン（高地）,低（日向必須）,-15℃以上（寒さには無敵だが、日本の梅雨・多湿で一発で腐る）,普通 / 弱い（日本の高温多湿が最大の天敵）,ベランダ（雨除け必須） / 庭（極めて水はけの良い傾斜地）,乾燥気味（土の中まで完全に乾いてからたっぷり）,「子羊の耳（ラムズイヤー）」の名の通り、極上のフカフカした白い毛で覆われたシルバーリーフ。雨に当たると毛が黒ずみ一発で腐る。雨厳禁。,乾燥好む,中級者向け（夏越しは上級）,常緑性多年草（宿根草・匍匐性）,5月〜7月（花）、葉は通年,葉：子羊の耳そのものの厚みとフカフカした質感の純白銀葉、花：ピンクの穂状花,樹高0.2m〜0.4m（横に広がる）,普通,水はけ極めて重視（多肉の土、山砂・軽石主体の砂質土壌）,春（3〜4月）または秋、毎年植え替え推奨,ほぼ不要（与えすぎると株が暴れて腐りやすくなる。春に極少量の緩効性肥料）,根腐れ・梅雨時の蒸れ腐れ（一発でドロドロになる）,特になし,日本の梅雨〜夏は雨ざらし絶対厳禁。風通しを極限まで良くした軒下で管理。下方の枯れた葉はこまめにピンセットで取り除く。,梅雨前（6月）に、混み合った葉や下葉を大胆に間引き、株元を地面から浮かせるような剪定を行う（蒸れ防止）。,安全（毒性なし、触感が抜群に良く子供にも安心）,シャビーシック / ホワイトインテリア / カントリー / フレンチカントリー,触るだけで癒やされる極上のフカフカ質感と、お庭に海外の風をもたらすシルバー効果,花言葉「あなたを従う」「おだやか」「誠実」,お洒落な女性へのプチギフト / ガーデニングこだわり派へのプレゼント,通年安定（春に流通増）,屋外・雨の当たらない特設カラーリーフコーナー,3号ポット：350円 / 4号鉢：600円,
シロタエギク,Jacobaea maritima,Dusty miller / ダスティミラー（白妙菊）,キク科キオン属,地中海沿岸原産,低（日向必須）,-10℃以上（日本全国植えっぱなし無敵、冬の寄せ植えの絶対王）,強い / 強い（最強クラスの強健シルバーリーフ）,庭 / ベランダ（冬の寄せ植えに必須）,土が乾いたらたっぷり（乾燥にも非常に強い）,「ダスティミラー」。驚異的に強健で寒さに無敵。冬のパンジー・ビオラの寄せ植えの脇役として絶対に欠かせないシルバーリーフの決定版。,乾燥好む,初心者向け,常緑性多年草,通年（冬〜春の寄せ植え期が最高に見頃）、夏に黄色の小花,葉：白いレース状の美しい極上のシルバーホワイト（全面に白い毛）,樹高0.15m〜0.5m（剪定で維持可能）,早い,一般的な培養土、どんな土でも砂地でも無敵に育つ,春または秋、植えっぱなしで何年も不要,ほぼ不要（与えすぎると徒長してシルバーの毛が薄くなり、緑色になってしまう）,特になし,特になし,あまりに強健で病害虫で枯れる心配は一切ない。日当たりが良いほど白さが激しく冴え渡る。,夏になると背が伸びて黄色い花が咲くが、株が乱れるため、春の終わりに短くバッサリ切り戻す（若返り剪定）。,安全（キク科共通、多量誤食注意）,北欧 / シャビーシック / ホワイトインテリア / クリスマス / フォーマル,どんな花をも引き立てる最強のシルバーコントラスト効果と冬のお庭の高級感演出,花言葉「あなたを支える」「穏やか」「私はあなたを信じます」,冬の寄せ植えの材料（まとめ買い必須） / 新築祝いの植栽用,通年安定（10〜12月に爆発的大量流通、市場の定番）,屋外・花苗・寄せ植え材料コーナーの絶対的エース,3号ポット：100円〜200円（安価で最高）,
姫ウツギ,Deutzia gracilis,Slender deutzia / ヒメウツギ,アジサイ科ウツギ属,日本原産（川沿いの岩場など）,中（半日陰OK）〜低,-15℃以上（日本の気候に完全適応、植えっぱなし無敵の落葉樹）,強い / 普通,庭（半日陰〜日向） / ベランダ,土が乾いたらたっぷり,日本原産の非常に強健な低木。春に新緑の美しい細葉の間から、純白の清楚な小花が鈴なりに垂れ下がるように爆発的に咲き誇る。,普通,初心者向け,落葉性低木,4月〜5月（一季咲き、圧倒的な美しさ）,花：星型の清楚な純白の小花が鈴なり、葉：爽やかなライトグリーンの細葉,樹高0.3m〜0.6m（非常にコンパクト）,普通,一般的な培養土、水はけの良い土,冬の落葉期（12〜2月）、2〜3年に1回,冬の寒肥（有機質肥料）と、花後の5月に緩効性肥料を少し与える,特になし,特になし,日本の野生の植物のため病害虫に極めて強く、日陰でも比較的よく咲く万能コンパクト低木。,花後すぐ（6月上旬まで）に剪定。全体の形を整えるように丸く刈り込んで良い。夏以降は切らない。,安全（毒性なし）,北欧 / ナチュラル /和モダン / ミニマル / イングリッシュガーデン,コンパクトなお庭やベランダを純白に染める、日本の伝統美と洋風デザインの融合効果,花言葉「古風」「秘密」「夏の訪れ」,新築祝い / 母の日ギフト / お庭のローメンテナンスな植栽用,春夏のみ（3〜4月に開花株が大量流通）,屋外・定番低木・花木コーナー最前線,"4号鉢：1,000円 / 6号鉢（開花株）：2,800円",
コンボルブルス、クネオラム,Convolvulus cneorum,Silverbush / コンボルブルス・クネオラム,ヒルガオ科コンボルブルス属,地中海沿岸原産,低（日向必須）,-5℃以上（関東以西は地植え可能、冬も常緑）,強い / 弱い（梅雨・夏の高温多湿・長雨に弱い）,ベランダ / 庭（雨の当たらない日向、鉢植え推奨）,乾燥気味（土の表面が乾いてからたっぷり）,極上の光沢のあるシルバーリーフ（サテン生地のよう）に、春先、アサガオに似た美しい純白の花が咲き誇る高級低木。過湿厳禁。,乾燥好む,中級者向け,常緑性低木,4月〜6月（開花期）、葉は通年,花：アサガオ型の純白花（中心が黄色、蕾がピンク）、葉：サテン光沢の銀葉,樹高0.3m〜0.6m（こんもりまとまる）,遅い,水はけ極めて重視（一般的な培養土に山砂や軽石をたっぷり混ぜる配合）,春（花後すぐ、6月）、2年に1回,春と秋の生育期に緩効性肥料を少量（控えめで良い、過肥は根を痛める）,根腐れ・夏の蒸れ病,特になし,日本の梅雨時の長雨に当たると一発で腐るため、梅雨以降は雨の当たらない日当たりと風通しの良い軒下で管理する。,花が終わったら、伸びすぎた枝を軽く切り戻して株内部の風通しを確保する。強剪定は避ける。,安全（毒性なし）,モダン / シャビーシック / ホワイトインテリア / インダストリアル,サテンのような極上の銀葉と純白の花による、極めて洗練された都会的なインテリア・エクステリア効果,花言葉「縁」「絆」「楽しい思い出」,お洒落な新築祝い / 誕生日ギフト / 特別な女性へのプレゼント,春夏のみ（305月に開花株がスポット流通、人気高）,屋外・雨の当たらない日向一等地・セレクトエリア,"4号鉢：1,500円 / 5号鉢：2,800円",
シレネ,Silene,Campion / フクロナデシコ,ナデシコ科シレネ属,地中海沿岸原産,中（半日陰OK）〜低,-10℃以上（極めて耐寒性が高い）,強い / 普通（過湿に注意）,庭 / ベランダ（日当たりが良い場所）,土が乾いたらたっぷり,「ピンクパンサー」や斑入りの「ユニフローラ」が人気。水のやりすぎによる徒長に注意。,乾燥好む,初心者向け,常緑性多年草（または一年草）,3月〜6月（春に株を覆うように開花）,花：ピンク・白、袋状のがくが可愛い、葉：緑または白斑入り,樹高0.1m〜0.3m,早い,一般的な草花培養土（水はけ重視）,春または秋、毎年〜2年に1回,春の生育期に緩効性肥料を少量、または液肥を定期的に,根腐れ・灰色かび病,アブラムシ,風通しを良くし、梅雨前の蒸れに注意する。,花が終わったら株の半分程度まで切り戻すと、夏越しがしやすくなる。,安全（毒性なし）,北欧 / ナチュラル / カジュアル / ポップ,手軽にピンクの絨毯を作れる圧倒的な多花性・お庭の華やかさ,花言葉「偽りの愛」「不屈の精神」「恋の落とし穴」,寄せ植えの主役 / 春のプチギフト / ベランダガーデン用,冬〜春のみ（1〜3月に大量流通）,屋外最前線・春の花苗コーナー,3号ポット：200円〜350円,
スカビオサ,Scabiosa,Pincushion flower / 西洋マツムシソウ,スイカズラ科マツムシソウ属,ヨーロッパ〜アジア,中（半日陰OK）〜低,-15℃以上（耐寒性が極めて高く植えっぱなしOK）,普通 / 弱い（夏の高温多湿・西日に弱い）,庭 / ベランダ（風通しの良い日向）,土が乾いたらたっぷり（水切れ注意）,クッションのような可愛い花が次々咲く。夏の猛暑時は日陰へ退避推奨。,普通,中級者向け,多年草（宿根草）,4月〜6月・9月〜10月（四季咲き性が高い）,花：青・紫・ピンク・白・ワインレッド、ピン刺し状,樹高0.2m〜0.6m,普通,一般的な草花培養土に軽石を少し配合,春（3〜4月）または秋、2年に1回,春と秋に緩効性肥料を定期的に施す（夏は断肥）,うどんこ病・根腐れ,アブラムシ・ハダニ・ナメクジ,夏の西日を避け、風通しを極限まで良く保つことが夏越しのコツ。,終わった花（花殻）を茎の根元からこまめにカットすると、次の蕾が次々上がる。,安全（毒性なし）,北欧 / シャビーシック / イングリッシュガーデン / シック,宿根草ガーデンの定番、アンティークで洗練された空気感の演出,花言葉「風情」「魅力」「はかない恋」「不幸な恋」,新築祝い / お洒落な方への誕生日ギフト / 寄せ植え用,通年安定（春と秋に開花株が多く流通）,屋外・定番宿根草・一等地コーナー,"3号ポット：350円 / 5号鉢：1,200円",
